Country_Target_Encoded,Year,temperature
0.48466129032258065,1961,-0.113
0.48466129032258065,1962,-0.164
0.48466129032258065,1963,0.847
0.48466129032258065,1964,-0.764
0.48466129032258065,1965,-0.244
0.48466129032258065,1966,0.226
0.48466129032258065,1967,-0.371
0.48466129032258065,1968,-0.423
0.48466129032258065,1969,-0.539
0.48466129032258065,1970,0.813
0.48466129032258065,1971,0.619
0.48466129032258065,1972,-1.124
0.48466129032258065,1973,0.232
0.48466129032258065,1974,-0.489
0.48466129032258065,1975,-0.445
0.48466129032258065,1976,-0.286
0.48466129032258065,1977,0.513
0.48466129032258065,1978,0.129
0.48466129032258065,1979,0.361
0.48466129032258065,1980,0.6
0.48466129032258065,1981,0.483
0.48466129032258065,1982,-0.346
0.48466129032258065,1983,0.164
0.48466129032258065,1984,0.145
0.48466129032258065,1985,0.283
0.48466129032258065,1986,-0.141
0.48466129032258065,1987,0.391
0.48466129032258065,1988,0.919
0.48466129032258065,1989,-0.205
0.48466129032258065,1990,0.73
0.48466129032258065,1991,-0.168
0.48466129032258065,1992,-0.294
0.48466129032258065,1993,0.22
0.48466129032258065,1994,0.43
0.48466129032258065,1995,0.359
0.48466129032258065,1996,-0.116
0.48466129032258065,1997,0.471
0.48466129032258065,1998,0.675
0.48466129032258065,1999,1.198
0.48466129032258065,2000,0.993
0.48466129032258065,2001,1.311
0.48466129032258065,2002,1.365
0.48466129032258065,2003,0.587
0.48466129032258065,2004,1.373
0.48466129032258065,2005,0.401
0.48466129032258065,2006,1.72
0.48466129032258065,2007,0.675
0.48466129032258065,2008,0.704
0.48466129032258065,2009,0.895
0.48466129032258065,2010,1.613
0.48466129032258065,2011,1.397
0.48466129032258065,2012,0.223
0.48466129032258065,2013,1.281
0.48466129032258065,2014,0.456
0.48466129032258065,2015,1.093
0.48466129032258065,2016,1.555
0.48466129032258065,2017,1.54
0.48466129032258065,2018,1.544
0.48466129032258065,2019,0.91
0.48466129032258065,2020,0.498
0.48466129032258065,2021,1.327
0.48466129032258065,2022,2.012
0.47138709677419355,1961,0.627
0.47138709677419355,1962,0.326
0.47138709677419355,1963,0.075
0.47138709677419355,1964,-0.166
0.47138709677419355,1965,-0.388
0.47138709677419355,1966,0.559
0.47138709677419355,1967,-0.074
0.47138709677419355,1968,0.081
0.47138709677419355,1969,-0.013
0.47138709677419355,1970,-0.106
0.47138709677419355,1971,-0.195
0.47138709677419355,1972,-0.069
0.47138709677419355,1973,-0.288
0.47138709677419355,1974,-0.139
0.47138709677419355,1975,-0.211
0.47138709677419355,1976,-0.683
0.47138709677419355,1977,0.545
0.47138709677419355,1978,-0.814
0.47138709677419355,1979,0.203
0.47138709677419355,1980,-0.414
0.47138709677419355,1981,-0.351
0.47138709677419355,1982,0.173
0.47138709677419355,1983,-0.128
0.47138709677419355,1984,-0.27
0.47138709677419355,1985,-0.103
0.47138709677419355,1986,0.569
0.47138709677419355,1987,-0.106
0.47138709677419355,1988,0.37
0.47138709677419355,1989,-0.066
0.47138709677419355,1990,0.795
0.47138709677419355,1991,-0.269
0.47138709677419355,1992,0.106
0.47138709677419355,1993,0.076
0.47138709677419355,1994,1.33
0.47138709677419355,1995,-0.172
0.47138709677419355,1996,-0.038
0.47138709677419355,1997,0.075
0.47138709677419355,1998,0.795
0.47138709677419355,1999,0.67
0.47138709677419355,2000,1.065
0.47138709677419355,2001,1.532
0.47138709677419355,2002,0.492
0.47138709677419355,2003,0.97
0.47138709677419355,2004,0.444
0.47138709677419355,2005,0.189
0.47138709677419355,2006,0.345
0.47138709677419355,2007,1.316
0.47138709677419355,2008,0.978
0.47138709677419355,2009,0.91
0.47138709677419355,2010,1.191
0.47138709677419355,2011,1.055
0.47138709677419355,2012,1.487
0.47138709677419355,2013,1.333
0.47138709677419355,2014,1.198
